doi,rank,raw_name,raw_affiliation,matched_faculty_id,confidence_score,match_signals
10.1038/s41392-022-01130-8,12,Weimin Li,Unknown,,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""NEEDS_REVIEW"", ""source"": null, ""evidence_score"": 0.4, ""evidence_sources"": [""crossref""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 91, ""employee_id"": ""gen_35aa24ba"", ""name_zh"": ""Weimin Li"", ""department"": ""Department of Pulmonary and Critical Care Medicine, Med-X Center for Manufacturing, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, Sichuan University, Chengdu, China"", ""name_score"": 1.0, ""aff_score"": 0.0, ""aff_used"": """", ""reason"": ""affiliation_"
10.1038/s41467-023-42720-6,1,Shengdong Wang,Unknown,,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""NEEDS_REVIEW"", ""source"": null, ""evidence_score"": 0.4, ""evidence_sources"": [""crossref""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 78, ""employee_id"": ""gen_d842623c"", ""name_zh"": ""Shengdong Wang"", ""department"": ""College of Polymer Science and Engineering, State Key Laboratory of Polymer Materials Engineering, Sichuan University, Chengdu, People's Republic of China"", ""name_score"": 1.0, ""aff_score"": 0.0, ""aff_used"": """", ""reason"": ""affiliation_unknown""}}"
10.1038/s41467-023-42720-6,2,Zhipeng Xie,Unknown,,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""NEEDS_REVIEW"", ""source"": null, ""evidence_score"": 0.4, ""evidence_sources"": [""crossref""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 145, ""employee_id"": ""gen_08d54764"", ""name_zh"": ""Zheng Xiang"", ""department"": ""Department of Geriatrics and State Key Laboratory of Biotherapy, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Chengdu, Sichuan, China"", ""name_score"": 0.7272727272727273, ""aff_score"": 0.0, ""aff_used"": """", ""reason"": ""affiliation_unknow"
10.1038/s41467-023-42720-6,3,Da Zhu,Unknown,,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""NEEDS_REVIEW"", ""source"": null, ""evidence_score"": 0.4, ""evidence_sources"": [""crossref""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 74, ""employee_id"": ""gen_7d19b855"", ""name_zh"": ""Ran Zhou"", ""department"": ""Department of Neurosurgery, State Key Laboratory of Biotherapy and Cancer Center, West China Hospital, Sichuan University, Chengdu, China"", ""name_score"": 0.7142857142857143, ""aff_score"": 0.0, ""aff_used"": """", ""reason"": ""affiliation_unknown""}}"
10.1038/s41467-023-42720-6,5,Yishi Wu,Unknown,,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""NEEDS_REVIEW"", ""source"": null, ""evidence_score"": 0.4, ""evidence_sources"": [""crossref""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 121, ""employee_id"": ""gen_cc251c4e"", ""name_zh"": ""Yi Wu"", ""department"": ""Department of Biotherapy, Cancer Center and State Key Laboratory of Biotherapy, West China Hospital, and West China School of Basic Medical Sciences and Forensic Medicine, Sichuan University, and Collaborative Innovation Center for Biotherapy, Chengdu, China"", ""name_score"": 0.76923076"
10.1038/s41467-023-42720-6,8,Panke Zhou,Unknown,,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""NEEDS_REVIEW"", ""source"": null, ""evidence_score"": 0.4, ""evidence_sources"": [""crossref""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 74, ""employee_id"": ""gen_7d19b855"", ""name_zh"": ""Ran Zhou"", ""department"": ""Department of Neurosurgery, State Key Laboratory of Biotherapy and Cancer Center, West China Hospital, Sichuan University, Chengdu, China"", ""name_score"": 0.7777777777777778, ""aff_score"": 0.0, ""aff_used"": """", ""reason"": ""affiliation_unknown""}}"
10.1038/s41467-023-42720-6,11,Qing Liao,Unknown,,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""NEEDS_REVIEW"", ""source"": null, ""evidence_score"": 0.4, ""evidence_sources"": [""crossref""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 69, ""employee_id"": ""gen_dee143a8"", ""name_zh"": ""Qing Mao"", ""department"": ""Department of Neurosurgery, West China Hospital, Sichuan University, Chengdu, China"", ""name_score"": 0.8235294117647058, ""aff_score"": 0.0, ""aff_used"": """", ""reason"": ""affiliation_unknown""}}"
10.1038/s41467-023-42720-6,12,Hong Xu,Unknown,,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""NEEDS_REVIEW"", ""source"": null, ""evidence_score"": 0.4, ""evidence_sources"": [""crossref""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 22, ""employee_id"": ""gen_1d3f1947"", ""name_zh"": ""Heng Xu"", ""department"": ""Department of Laboratory Medicine, Precision Medicine Center, State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, Sichuan, China"", ""name_score"": 0.8571428571428571, ""aff_score"": 0.0, ""aff_used"": """", ""reason"": ""affiliation_unknown""}}"
10.1038/s41467-023-42720-6,13,Xiong Chen,Unknown,,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""NEEDS_REVIEW"", ""source"": null, ""evidence_score"": 0.4, ""evidence_sources"": [""crossref""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 106, ""employee_id"": ""gen_69492691"", ""name_zh"": ""Xingyu Chen"", ""department"": ""Department of Biotherapy, Cancer Center and State Key Laboratory of Biotherapy, West China Hospital, and West China School of Basic Medical Sciences and Forensic Medicine, Sichuan University, and Collaborative Innovation Center for Biotherapy, Chengdu, China"", ""name_score"": 0.85"
10.1038/s41467-023-42720-6,14,Cheng Gu,Unknown,,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""NEEDS_REVIEW"", ""source"": null, ""evidence_score"": 0.4, ""evidence_sources"": [""crossref""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 8, ""employee_id"": ""gen_a20fe350"", ""name_zh"": ""Cheng Gu"", ""department"": ""College of Polymer Science and Engineering, State Key Laboratory of Polymer Materials Engineering, Sichuan University, Chengdu, People's Republic of China"", ""name_score"": 1.0, ""aff_score"": 0.0, ""aff_used"": """", ""reason"": ""affiliation_unknown""}}"
