id,employee_id,name_zh,department,departments,name_en_list
52,gen_961c3cb6,Menghan Li,"Department of Neurosurgery, State Key Laboratory of Biotherapy and Cancer Center, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
53,gen_9d832638,Min Ai,"Laboratory of Molecular Oncology, Frontiers Science Center for Disease-related Molecular Network, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
54,gen_e495bfc1,Mingke You,"Sports Medicine Center, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
55,gen_9c60078d,Na Xie,"Department of Biotherapy, Cancer Center and State Key Laboratory of Biotherapy, West China Hospital, and West China School of Basic Medical Sciences and Forensic Medicine, Sichuan University, and Collaborative Innovation Center for Biotherapy, Chengdu, China",,"""[]"""
56,gen_437534d3,Nan Wang,"State Key Laboratory of Polymer Materials Engineering, Polymer Research Institute, Sichuan University, Chengdu, China",,"""[]"""
57,gen_c839dba6,Ningning Chao,"Department of Respiratory and Critical Care Medicine, Med-X Center for Manufacturing, Center of Precision Medicine, Precision Medicine Key Laboratory of Sichuan Province, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, West China Medical School, Sichuan University, Chengdu, China",,"""[]"""
58,gen_35778015,Peilei Wang,"National Engineering Research Center for Biomaterials, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
59,gen_3b162b0f,Peng Lei,"Department of Geriatrics and State Key Laboratory of Biotherapy, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
60,gen_a546cc99,Peng Xiao,"Department of Neurosurgery, State Key Laboratory of Biotherapy and Cancer Center, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
61,gen_2c131ce5,Ping He,"Key Laboratory of Birth Defects and Related Diseases of Women and Children of MOE, West China Second Hospital, Sichuan University, Chengdu, China",,"""[]"""
62,gen_272954bf,Qi Gan,"Department of Neurosurgery, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
63,gen_b4f8e333,Qi Li,"Sports Medicine Center, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
64,gen_67cea8af,Qi Zhao,"Laboratory of Metabolomics and Drug-Induced Liver Injury, Department of Gastroenterology & Hepatology, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
65,gen_2b0d6505,Qiang He,"College of Biomass Science and Engineering, Department of Respiratory and Critical Care Medicine, State Key Laboratory of Biotherapy and Cancer Center, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
66,gen_234230d8,Qin Zheng,"Department of Nephrology, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
67,gen_9fa84048,Qinbo Yang,"Department of Nephrology, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
68,gen_e5a664ec,Qing Jiang,"National Engineering Research Center for Biomaterials, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
69,gen_dee143a8,Qing Mao,"Department of Neurosurgery, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
70,gen_30b0bba3,Qingquan Zheng,"Laboratory of Molecular Oncology, Frontiers Science Center for Disease-related Molecular Network, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
71,gen_7eff85d7,Qing‐zhang Tuo,"Department of Geriatrics and State Key Laboratory of Biotherapy, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
72,gen_00521f1b,Qiu He,"College of Materials Science and Engineering, Sichuan University, Chengdu, P. R. China",,"""[]"""
73,gen_9607870d,Quanying Liu,"National Engineering Research Center for Biomaterials, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
74,gen_7d19b855,Ran Zhou,"Department of Neurosurgery, State Key Laboratory of Biotherapy and Cancer Center, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
75,gen_648fcae1,Ruijie Deng,"College of Biomass Science and Engineering, Department of Respiratory and Critical Care Medicine, State Key Laboratory of Biotherapy and Cancer Center, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
